timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,ff_gain,position_error_xy,position_error_3d
1782795984653422,2,14,1.0028399,0.1906569,-1.9699719,0.028371453,-0.28294036,-0.015325727,0.9955617517325435,0.14990860667731074,-2.0,0.014782853017019641,-0.24687549979729456,0.0,tracking,figure8,planar_ff,1.0,0.04139317860624744,0.051137875498622955
1782795984703509,2,14,1.0042095,0.17537925,-1.9701927,0.026269393,-0.28349116,-0.0152791655,0.9962713501502531,0.13752549343611076,-2.0,0.013552064649450083,-0.24758595293936098,0.0,tracking,figure8,planar_ff,1.0,0.03867713111020173,0.04883028979271025
1782795984753312,2,14,1.005398,0.16217895,-1.9702961,0.024566963,-0.28381276,-0.015116285,0.9969157957492242,0.12517854572437936,-2.0,0.012327395193242375,-0.24823161340539315,0.0,tracking,figure8,planar_ff,1.0,0.037960214837821284,0.04820058975168084
1782795984803410,2,14,1.0065475,0.14885451,-1.9703562,0.02288623,-0.2841496,-0.014994657,0.9975024981657344,0.112727674576364,-2.0,0.011094722662242306,-0.2488197849116449,0.0,tracking,figure8,planar_ff,1.0,0.03724190299327762,0.0475995032742998
1782795984853346,2,14,1.0075332,0.1353665,-1.9704008,0.021304114,-0.2846869,-0.015037758,0.998025834186687,0.10028919123800938,-2.0,0.009865344151028028,-0.24934472335809876,0.0,tracking,figure8,planar_ff,1.0,0.036342916950914725,0.04687130933378681
1782795984903280,2,14,1.0083387,0.11950277,-1.9704812,0.019102648,-0.28517622,-0.015064888,0.9984877444626424,0.08782659743354224,-2.0,0.008635414994361493,-0.24980827673326736,0.0,tracking,figure8,planar_ff,1.0,0.03317258636558166,0.04440475932598396
1782795984953804,2,14,1.0088099,0.10572195,-1.9704986,0.01712129,-0.2856518,-0.015222797,0.9988925894153716,0.07519480508126802,-2.0,0.0073904169519395215,-0.25021473817575446,0.0,tracking,figure8,planar_ff,1.0,0.03209765981632624,0.04359581036638026
1782795985003451,2,14,1.0090567,0.09180664,-1.9704766,0.01495466,-0.28606844,-0.01531196,0.9992291214035017,0.06276381644953687,-2.0,0.0061665769530969035,-0.2505527393003464,0.0,tracking,figure8,planar_ff,1.0,0.030660504389815567,0.04256402217405445
1782795985053334,2,14,1.0091094,0.0777193,-1.9705071,0.012730559,-0.28635022,-0.015613997,0.9995060554351554,0.05025807841654262,-2.0,0.0049365136746285536,-0.2508309676883445,0.0,tracking,figure8,planar_ff,1.0,0.029091966810367176,0.041426694800120636
1782795985103408,2,14,1.0089697,0.06115335,-1.9706633,0.010035928,-0.2867536,-0.015719807,0.9997223241256036,0.03769235686878523,-2.0,0.0037014662902468323,-0.2510483008079599,0.0,tracking,figure8,planar_ff,1.0,0.02521768923614925,0.03868556851883165
1782795985153348,2,14,1.008696,0.046833094,-1.9708562,0.007896488,-0.28713635,-0.016079297,0.9998764125004137,0.025150994248222036,-2.0,0.0024694982853899956,-0.2512031762588197,0.0,tracking,figure8,planar_ff,1.0,0.023407208716381616,0.03737992867494555
1782795985203329,2,14,1.0082737,0.03242781,-1.971118,0.0057602474,-0.28740773,-0.016442243,0.9999690239164261,0.012593064217092784,-2.0,0.0012363594860311162,-0.2512962722137799,0.0,tracking,figure8,planar_ff,1.0,0.021503149033552976,0.036007733946760274
1782795985253381,2,14,1.0075215,0.01790411,-1.9715314,0.0032980153,-0.28771827,-0.016748207,0.9999999999617218,1.3999439518480243e-05,-2.0,1.374391760853614e-06,-0.25132741224870203,0.0,tracking,figure8,planar_ff,1.0,0.019406935574095813,0.034454185208402106
1782795985303292,2,14,1.0062181,0.00080369797,-1.9719994,0.00044707162,-0.28803936,-0.016762616,0.9999693355800571,-0.012529556834851907,-2.0,-0.0012301240868261595,-0.251296585522579,0.0,tracking,figure8,planar_ff,1.0,0.014724879684097364,0.03163629799560805
1782795985353957,2,14,1.0048027,-0.013940778,-1.9722569,-0.001981303,-0.28827715,-0.016867798,0.9998753450144363,-0.025259347743814383,-2.0,-0.0024801398276205694,-0.25120210323806746,0.0,tracking,figure8,planar_ff,1.0,0.012344580790999898,0.030365578727195204
1782795985403357,2,14,1.0031539,-0.028657723,-1.9724212,-0.004494025,-0.2882951,-0.01662816,0.9997227266510538,-0.037665046055277464,-2.0,-0.003698782823412375,-0.25104870535839535,0.0,tracking,figure8,planar_ff,1.0,0.009638724747254777,0.02921466916988862
1782795985453315,2,14,1.0013262,-0.04327783,-1.9724927,-0.006917497,-0.28799304,-0.01654062,0.999507163080718,-0.05020176573601494,-2.0,-0.00493097699355744,-0.2508320806657126,0.0,tracking,figure8,planar_ff,1.0,0.007158890272992616,0.028423609083717386
1782795985503325,2,14,0.9991159,-0.060158707,-1.9724824,-0.009413584,-0.28702587,-0.016517187,0.999229728069148,-0.0627391622805577,-2.0,-0.006164150925966367,-0.2505533487172107,0.0,tracking,figure8,planar_ff,1.0,0.002582966543418477,0.027638517614396042
1782795985553472,2,14,0.9970985,-0.07432591,-1.9724736,-0.011315517,-0.28577825,-0.016628316,0.9988896152626037,-0.07529543184080854,-2.0,-0.007400328947313405,-0.2502117515468213,0.0,tracking,figure8,planar_ff,1.0,0.0020366839822385024,0.027601622649439585
1782795985603295,2,14,0.9950117,-0.08818308,-1.9725196,-0.013021525,-0.28422543,-0.016871832,0.9984903228224328,-0.08775197756602215,-2.0,-0.008628055830830565,-0.24981086486674328,0.0,tracking,figure8,planar_ff,1.0,0.0035052576804747463,0.027703018621204417
1782795985653457,2,14,0.99276984,-0.10173398,-1.9726944,-0.014463625,-0.28239748,-0.017081691,0.9980265316148375,-0.10027156229198575,-2.0,-0.009863603117055104,-0.24934542310544316,0.0,tracking,figure8,planar_ff,1.0,0.005456345403111393,0.027845424432838852
1782795985703330,2,14,0.99005103,-0.11728669,-1.9730239,-0.016069254,-0.2798682,-0.017282907,0.9975039842383098,-0.11269434158287393,-2.0,-0.011091425485891633,-0.2488212751446787,0.0,tracking,figure8,planar_ff,1.0,0.008754220752394466,0.028361008647295956
1782795985753405,2,14,0.98772675,-0.13032182,-1.9734793,-0.01730407,-0.27761084,-0.017550455,0.9969177281359345,-0.1251396278202068,-2.0,-0.012323538728968854,-0.2482335500627557,0.0,tracking,figure8,planar_ff,1.0,0.010551263348253084,0.028542568308455515
1782795985803457,2,14,0.98545885,-0.14321342,-1.9741023,-0.018144213,-0.27525756,-0.017676646,0.9962701056147268,-0.1375482282065973,-2.0,-0.013554321915713931,-0.24758470646164246,0.0,tracking,figure8,planar_ff,1.0,0.012205654901160129,0.028629897414509938
1782795985853336,2,14,0.9831825,-0.15592653,-1.9748783,-0.01889984,-0.27277768,-0.017814882,0.9955634520268284,-0.1498802087375663,-2.0,-0.01478002738455019,-0.24687720153460227,0.0,tracking,figure8,planar_ff,1.0,0.013778460512388183,0.028652142151511455
1782795985903398,2,14,0.9806344,-0.17049572,-1.9759121,-0.019570885,-0.26983654,-0.017694723,0.9947927703534913,-0.1622201734312462,-2.0,-0.01600929234659133,-0.24610616368471777,0.0,tracking,figure8,planar_ff,1.0,0.016399509991133713,0.02914054207432072
1782795985953672,2,14,0.9786256,-0.1826621,-1.9769051,-0.01992978,-0.267161,-0.017387997,0.9939569021975794,-0.1745722589151611,-2.0,-0.01724279131582216,-0.2452705842228064,0.0,tracking,figure8,planar_ff,1.0,0.01733479531500056,0.028876793680018536
1782795986003352,2,14,0.9768315,-0.19462577,-1.9780169,-0.019733114,-0.26467198,-0.01702486,0.9930700295768611,-0.1867354737223755,-2.0,-0.01846064397960906,-0.24438478589411577,0.0,tracking,figure8,planar_ff,1.0,0.018053969568129314,0.028446520557592444
1782795986053917,2,14,0.975257,-0.20639375,-1.979362,-0.019334774,-0.26202744,-0.016489878,0.9921052516249279,-0.19906871710214724,-2.0,-0.019699044600590063,-0.24342207456146406,0.0,tracking,figure8,planar_ff,1.0,0.01837172460659124,0.027630541965462472
1782795986103377,2,14,0.97403926,-0.2160505,-1.9805696,-0.018825056,-0.2597752,-0.015923282,0.9911009900009572,-0.21108403341638904,-2.0,-0.020909197680197736,-0.24242095809863,0.0,tracking,figure8,planar_ff,1.0,0.017769854867019378,0.02633074498193392
1782795986153460,2,14,0.9725279,-0.2293912,-1.9822786,-0.018079663,-0.2568002,-0.014882429,0.9900231401142339,-0.22319852899265877,-2.0,-0.02213328502650192,-0.24134761189762802,0.0,tracking,figure8,planar_ff,1.0,0.018558871117558388,0.02566086938668164
1782795986203377,2,14,0.97146434,-0.24074265,-1.9836955,-0.01715159,-0.2543406,-0.013726799,0.9888879040152057,-0.2352178048465138,-2.0,-0.023351943022905896,-0.24021838212421703,0.0,tracking,figure8,planar_ff,1.0,0.0182785310592971,0.024493696751476435
1782795986253243,2,14,0.9704722,-0.25379854,-1.9853554,-0.016141584,-0.25151968,-0.012340954,0.9876930903560087,-0.2471673881001505,-2.0,-0.02456795721275513,-0.23903128938316642,0.0,tracking,figure8,planar_ff,1.0,0.018453455192545452,0.023558331244503187
1782795986303360,2,14,0.96991354,-0.26299113,-1.9865034,-0.015372058,-0.2496101,-0.011211335,0.9864312343267165,-0.25911570529547034,-2.0,-0.02578854358578285,-0.2377791457132159,0.0,tracking,figure8,planar_ff,1.0,0.016966242515329234,0.02167977400710915
1782795986353335,2,14,0.969355,-0.27758586,-1.9882529,-0.014318074,-0.2470054,-0.00956582,0.9851120777269935,-0.27096624221785953,-2.0,-0.027004083316039863,-0.23647185392763376,0.0,tracking,figure8,planar_ff,1.0,0.017091086035944305,0.020738854201046118
1782795986403496,2,14,0.9691485,-0.28674036,-1.989264,-0.013701804,-0.24533369,-0.008510202,0.9837269441099308,-0.2827939106065073,-2.0,-0.02822249346480146,-0.23510106138408995,0.0,tracking,figure8,planar_ff,1.0,0.015103122127660159,0.018530130605687447
1782795986453307,2,14,0.9690289,-0.29960167,-1.9905412,-0.013015694,-0.2435094,-0.0070057884,0.9822910813014993,-0.2944692289021443,-2.0,-0.02943063364303065,-0.23368210091271377,0.0,tracking,figure8,planar_ff,1.0,0.01422069563021945,0.01707913028874507
1782795986503369,2,14,0.9689658,-0.30876854,-1.991333,-0.012520878,-0.2424192,-0.0059416513,0.9807873651379116,-0.30613094927891954,-2.0,-0.030643069776007524,-0.23219830770694594,0.0,tracking,figure8,planar_ff,1.0,0.01211218284636229,0.014893680770108473
1782795986553314,2,14,0.9687783,-0.32337272,-1.9924307,-0.012031962,-0.24070343,-0.0046497015,0.9792267075247536,-0.3176900930166267,-2.0,-0.031850797888204524,-0.23066073139296023,0.0,tracking,figure8,planar_ff,1.0,0.011893742804163656,0.014098071393657067
1782795986603614,2,14,0.9685467,-0.33243987,-1.9929752,-0.012035562,-0.2397135,-0.0036489114,0.977594066013007,-0.3292521659356235,-2.0,-0.033065110485366575,-0.2290548563814221,0.0,tracking,figure8,planar_ff,1.0,0.009592537745545617,0.011889663589554048
1782795986653288,2,14,0.96824694,-0.3451847,-1.9935219,-0.012159011,-0.23811936,-0.0024229647,0.9759218714646206,-0.34058952136611587,-2.0,-0.03426226939559126,-0.22741285462520902,0.0,tracking,figure8,planar_ff,1.0,0.008945410185362776,0.011044716649716424
1782795986703361,2,14,0.9680415,-0.3543514,-1.9938328,-0.012372029,-0.23720224,-0.001856228,0.9741760661774475,-0.3519342867128885,-2.0,-0.035466964342684,-0.22570157065304847,0.0,tracking,figure8,planar_ff,1.0,0.00659358780647506,0.009028257001765226
1782795986753314,2,14,0.96774507,-0.36901492,-1.9942324,-0.012932169,-0.2356713,-0.001084289,0.9723744365794791,-0.3631648188677521,-2.0,-0.0366665570148894,-0.2239387787816419,0.0,tracking,figure8,planar_ff,1.0,0.0074602176596119145,0.009429733342181359
1782795986803433,2,14,0.9675961,-0.3781526,-1.9944227,-0.013369234,-0.23454969,-0.0006352945,0.9705066203582645,-0.37434298982592307,-2.0,-0.03786788911618345,-0.22211467219291045,0.0,tracking,figure8,planar_ff,1.0,0.004794190886064519,0.007354646796951804
1782795986853422,2,14,0.9674421,-0.39085016,-1.9948144,-0.013958354,-0.23295395,-0.00039233538,0.9685837565801769,-0.3853995821603055,-2.0,-0.03906375183695741,-0.22024047007222589,0.0,tracking,figure8,planar_ff,1.0,0.00556885898974418,0.00760938117550378
1782795986903473,2,14,0.9672629,-0.39982885,-1.9952722,-0.014604203,-0.231767,-0.00028259732,0.9665986590398068,-0.3963747596387709,-2.0,-0.040258695442771025,-0.21830950856827985,0.0,tracking,figure8,planar_ff,1.0,0.003517387996550005,0.005892749202348185
1782795986954085,2,14,0.96661663,-0.41420558,-1.9962633,-0.016080152,-0.23003957,-6.975792e-05,0.964530539860603,-0.4073733808861407,-2.0,-0.041464512001250925,-0.21630200304885128,0.0,tracking,figure8,planar_ff,1.0,0.007143595103246001,0.008061894055066356
1782795987003414,2,14,0.9659719,-0.4231322,-1.9969602,-0.017154222,-0.22906306,0.00011899236,0.962456214856215,-0.41799393440690463,-2.0,-0.04263722122199361,-0.21429279278831892,0.0,tracking,figure8,planar_ff,1.0,0.0062258953480406705,0.0069283750573955576
1782795987053801,2,14,0.9650926,-0.4337581,-1.9977496,-0.0189011,-0.22751951,0.00031076476,0.9602777045344953,-0.42873880908462053,-2.0,-0.043832460084489815,-0.21218732469141185,0.0,tracking,figure8,planar_ff,1.0,0.006955352284826859,0.007310360722515177
1782795987103436,2,14,0.96414405,-0.4443256,-1.9985445,-0.020762168,-0.22613533,0.0009468558,0.9580729338027841,-0.4392180941217201,-2.0,-0.04500715345919786,-0.2100613343786266,0.0,tracking,figure8,planar_ff,1.0,0.007933764233358627,0.008066178044688732
1782795987153479,2,14,0.9629514,-0.45657375,-1.9995699,-0.023030473,-0.22432534,0.001830006,0.955791063345001,-0.4496754846659588,-2.0,-0.04618874267163191,-0.2078661453983964,0.0,tracking,figure8,planar_ff,1.0,0.009942693575453791,0.009951992099962234
1782795987203422,2,14,0.96200186,-0.46697453,-2.000451,-0.024804538,-0.2227699,0.0024130703,0.9534548647996876,-0.460001195414912,-2.0,-0.04736512804350277,-0.20562411509845055,0.0,tracking,figure8,planar_ff,1.0,0.011030803830624188,0.011040023214665426
1782795987253374,2,14,0.9609014,-0.4790812,-2.0014904,-0.026906038,-0.22076137,0.0030409207,0.9510595854498933,-0.470215345302427,-2.0,-0.048538792186601655,-0.20333108213550527,0.0,tracking,figure8,planar_ff,1.0,0.013246303223990048,0.013329880336544713
1782795987303394,2,14,0.960047,-0.48775056,-2.002263,-0.028647594,-0.21929614,0.0037698026,0.9486023054292785,-0.4803276462925711,-2.0,-0.04971109192282708,-0.20098468880598838,0.0,tracking,figure8,planar_ff,1.0,0.013641139803181074,0.013827587768186243
1782795987353580,2,14,0.95867723,-0.5015999,-2.003437,-0.031109897,-0.21698746,0.004694239,0.9460780509803547,-0.4903541639736405,-2.0,-0.050884181727938835,-0.19858066403563915,0.0,tracking,figure8,planar_ff,1.0,0.016888046949675717,0.01723425004335377
