timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage,trajectory_type
1782704554681469,2,14,0.9062272,0.40633383,-1.983943,0.07713341,-0.14609756,-0.0063349484,0.9792203684508656,0.23830199696789597,-2.0,figure8,figure8
1782704554731475,2,14,0.91073996,0.3986396,-1.984607,0.07668739,-0.14746231,-0.00592714,0.980783104843208,0.2296224222450521,-2.0,figure8,figure8
1782704554781583,2,14,0.9147089,0.39208093,-1.9850819,0.07631786,-0.14865255,-0.0054848534,0.9822883603652749,0.22086812434086794,-2.0,figure8,figure8
1782704554831667,2,14,0.91937876,0.38443294,-1.9855525,0.07581955,-0.14981814,-0.004924844,0.9837320657540816,0.21206343159408275,-2.0,figure8,figure8
1782704554881526,2,14,0.92270404,0.37895867,-1.9859223,0.07533084,-0.1508526,-0.0046619163,0.9851087987120232,0.20324621582491562,-2.0,figure8,figure8
1782704554931584,2,14,0.9273093,0.37113985,-1.9865043,0.07456836,-0.15220155,-0.004219244,0.986430247329751,0.194343604170154,-2.0,figure8,figure8
1782704554981790,2,14,0.931369,0.36433464,-1.9870625,0.07377295,-0.15360396,-0.004140361,0.9876943459433378,0.18536637874286568,-2.0,figure8,figure8
1782704555031560,2,14,0.93545836,0.357414,-1.9877262,0.07305488,-0.15499237,-0.0040247,0.9888868364556342,0.17642158980419584,-2.0,figure8,figure8
1782704555081570,2,14,0.93941015,0.35038343,-1.9884512,0.07203968,-0.15642928,-0.0038773054,0.9900241932546812,0.1673902836932283,-2.0,figure8,figure8
1782704555131545,2,14,0.94379956,0.34203488,-1.9893086,0.07058627,-0.15834604,-0.0036711176,0.991099738353482,0.1583239083413967,-2.0,figure8,figure8
1782704555181504,2,14,0.94731754,0.33469278,-1.9900424,0.069025904,-0.1600027,-0.0032935778,0.992113872280331,0.14922162027861452,-2.0,figure8,figure8
1782704555231528,2,14,0.9506808,0.32719603,-1.9906936,0.067336,-0.16168603,-0.0028031175,0.9930681242340682,0.1400705213337486,-2.0,figure8,figure8
1782704555281521,2,14,0.9538901,0.31960967,-1.9912641,0.06570026,-0.16353723,-0.0022258929,0.9939605270902915,0.13089051632389118,-2.0,figure8,figure8
1782704555331596,2,14,0.95758104,0.3107315,-1.991853,0.06350239,-0.16563973,-0.0017020928,0.9947929553232168,0.12166299743967181,-2.0,figure8,figure8
1782704555381599,2,14,0.9606428,0.30318427,-1.9922779,0.061465327,-0.16722792,-0.0013119514,0.9955627481001662,0.11241897468563523,-2.0,figure8,figure8
1782704555431604,2,14,0.9634804,0.2956748,-1.9925749,0.059214864,-0.16858642,-0.0008142825,0.9962711659754246,0.10314664359596834,-2.0,figure8,figure8
1782704555481525,2,14,0.96606654,0.28825244,-1.9927146,0.056751177,-0.17000113,-0.00046284613,0.9969170788238333,0.09386452967691261,-2.0,figure8,figure8
1782704555531729,2,14,0.96870255,0.27979246,-1.9926949,0.053849913,-0.17117964,-0.00015060946,0.9975048284130437,0.08450655151624183,-2.0,figure8,figure8
1782704555581509,2,14,0.9705663,0.27269724,-1.9925878,0.05111257,-0.17205603,0.00014552852,0.9980263670963758,0.07520679084219112,-2.0,figure8,figure8
1782704555631570,2,14,0.97216374,0.26560014,-1.9923861,0.04818242,-0.17287932,0.00030436637,0.9984893039188942,0.06583610488056146,-2.0,figure8,figure8
