timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658849727333,2,14,0.06900694,-0.022805711,-0.61676925,0.11036051,-0.025532119,-1.1004595,0.0,0.0,-2.0,hover
1782658849777867,2,14,0.07433644,-0.025523111,-0.672028,0.093813434,-0.0081652645,-1.0943627,0.0,0.0,-2.0,hover
1782658849827349,2,14,0.078611135,-0.027122049,-0.72637725,0.07735069,0.011402939,-1.0822216,0.0,0.0,-2.0,hover
1782658849877487,2,14,0.081911676,-0.027432676,-0.77959365,0.061706413,0.032525297,-1.0637214,0.0,0.0,-2.0,hover
1782658849927385,2,14,0.084708095,-0.02604468,-0.8398829,0.044850737,0.057956655,-1.0334789,0.0,0.0,-2.0,hover
1782658849977617,2,14,0.08632618,-0.023229841,-0.8897082,0.03165932,0.07928964,-0.99994653,0.0,0.0,-2.0,hover
1782658850027545,2,14,0.08719745,-0.01889889,-0.9374111,0.019593455,0.09950831,-0.9600843,0.0,0.0,-2.0,hover
1782658850077544,2,14,0.08730879,-0.01321966,-0.9826569,0.008332969,0.11774852,-0.9140159,0.0,0.0,-2.0,hover
1782658850127315,2,14,0.08658399,-0.005087701,-1.0320451,-0.0034886105,0.1359247,-0.8543063,0.0,0.0,-2.0,hover
1782658850177379,2,14,0.08527401,0.0030183692,-1.071521,-0.012903042,0.14842409,-0.7998887,0.0,0.0,-2.0,hover
1782658850227538,2,14,0.08346489,0.011909498,-1.1082067,-0.021647159,0.15743762,-0.7435394,0.0,0.0,-2.0,hover
1782658850277587,2,14,0.081296094,0.021245666,-1.141963,-0.029979562,0.16281904,-0.6868407,0.0,0.0,-2.0,hover
1782658850327310,2,14,0.07850188,0.032340124,-1.1775745,-0.03863697,0.16444257,-0.62240076,0.0,0.0,-2.0,hover
1782658850377498,2,14,0.07589882,0.0419193,-1.2050476,-0.04527571,0.16184723,-0.5703975,0.0,0.0,-2.0,hover
1782658850427316,2,14,0.07325247,0.051347293,-1.2299335,-0.051326916,0.15554357,-0.5223177,0.0,0.0,-2.0,hover
1782658850477623,2,14,0.07081397,0.060525186,-1.2523489,-0.056414276,0.14644809,-0.47930884,0.0,0.0,-2.0,hover
1782658850527447,2,14,0.06817397,0.0706671,-1.275916,-0.061040834,0.13210851,-0.43560636,0.0,0.0,-2.0,hover
1782658850577386,2,14,0.06603737,0.07859778,-1.2944331,-0.06406481,0.116740204,-0.40409112,0.0,0.0,-2.0,hover
1782658850627610,2,14,0.06414558,0.085564196,-1.3116496,-0.06625238,0.09885221,-0.37788722,0.0,0.0,-2.0,hover
1782658850677379,2,14,0.062321533,0.09135913,-1.3278699,-0.06763427,0.07895043,-0.35618514,0.0,0.0,-2.0,hover
1782658850727324,2,14,0.060410883,0.096371375,-1.3457747,-0.06852452,0.0534001,-0.33564726,0.0,0.0,-2.0,hover
1782658850777377,2,14,0.059006285,0.0991619,-1.3604065,-0.06843433,0.030231452,-0.32143143,0.0,0.0,-2.0,hover
1782658850827365,2,14,0.057867482,0.10040393,-1.3745892,-0.06766481,0.0063557513,-0.30943784,0.0,0.0,-2.0,hover
1782658850877417,2,14,0.05680161,0.10012688,-1.3885045,-0.06646308,-0.017639183,-0.299211,0.0,0.0,-2.0,hover
1782658850927306,2,14,0.055641636,0.09795019,-1.4043901,-0.06480065,-0.04484252,-0.28836516,0.0,0.0,-2.0,hover
